8G,260512,191553,1915,019,,AU356,Q,260512,01900,,0133867471AU356 1915,0,
8G,260512,194542,1945,029,,AM171,Q,260512,02900,,0133973932AM171 1945,0,
8G,260512,194612,1945,029,,AU660,Q,260512,02900,,0133518719AU660 1945,0,
8G,260512,194641,1945,019,,AU557,Q,260512,01900,,0133836574AU557 1945,0,
8G,260512,201703,2015,019,,AU580,Q,260512,01900,,0133926682AU580 2015,0,
8G,260512,201723,2015,014,,AU225,Q,260512,01400,,0133832148AU225 2015,0,
8G,260512,201738,2015,029,,AM167,Q,260512,02900,,0133973931AM167 2015,0,
8G,260512,201807,2015,029,,AU411,Q,260512,02900,,0134009171AU411 2015,0,
8G,260512,201837,2015,014,,AR803,Q,260512,01400,,0133830576AR803 2015,0,
8G,260512,201852,2015,019,,AU654,Q,260512,01900,,0133584660AU654 2015,0,
8G,260512,204254,2045,015,,AU481,Q,260512,01500,,0133890944AU481 2045,0,
8G,260512,204309,2045,019,,AU356,Q,260512,01900,,0133867352AU356 2045,0,
8G,260512,204329,2045,019,,AU557,Q,260512,01900,,0133837478AU557 2045,0,
8G,260512,204349,2045,019,,AT652,Q,260512,01900,,0133832246AT652 2045,0,
8G,260512,204409,2045,014,,AU335,Q,260512,01400,,0133771808AU335 2045,0,
8G,260512,204423,2045,014,,AT011,Q,260512,01400,,0133863638AT011 2045,0,
8G,260512,211443,2115,014,,AP255,Q,260512,01400,,0133421478AP255 2115,0,
8G,260512,211458,2115,029,,AU661,Q,260512,02900,,0133518737AU661 2115,0,
8G,260512,211527,2115,029,,AU765,Q,260512,02900,,0133867091AU765 2115,0,
8G,260512,211556,2115,014,,AU599,Q,260512,01400,,0133941453AU599 2115,0,
8G,260512,214321,2145,014,,AU483,Q,260512,01400,,0133890945AU483 2145,0,
8G,260512,214336,2145,029,,AM171,Q,260512,02900,,0133973933AM171 2145,0,
8G,260512,214405,2145,029,,AU411,Q,260512,02900,,0134009176AU411 2145,0,
8G,260512,214435,2145,019,,AU024,Q,260512,01900,,0133549876AU024 2145,0,
8G,260512,214455,2145,019,,AU324,Q,260512,01900,,0133891584AU324 2145,0,
8G,260512,221727,2215,029,,AU338,Q,260512,02900,,0133810039AU338 2215,0,
8G,260512,224131,2245,019,,AU557,Q,260512,01900,,0133837479AU557 2245,0,
8G,260512,231315,2315,019,,AU557,Q,260512,01900,,0133836576AU557 2315,0,
8G,260512,231335,2315,019,,AU654,Q,260512,01900,,0133584661AU654 2315,0,
8G,260512,231355,2315,014,,AU599,Q,260512,01400,,0133941438AU599 2315,0,
8G,260512,234150,2345,014,,AU225,Q,260512,01400,,0133832149AU225 2345,0,
8G,260512,234205,2345,019,,AU324,Q,260512,01900,,0133891585AU324 2345,0,
8G,260512,234225,2345,019,,AT652,Q,260512,01900,,0133832247AT652 2345,0,
8G,260512,234245,2345,029,,AU765,Q,260512,02900,,0133867092AU765 2345,0,
8G,260512,241424,2415,029,,AU338,Q,260512,02900,,0133809914AU338 2415,0,
8G,260512,241454,2415,014,,AU599,Q,260512,01400,,0133941437AU599 2415,0,
8G,260512,244529,2445,029,,AU338,Q,260512,02900,,0133809913AU338 2445,0,
8G,260512,244558,2445,014,,AU599,Q,260512,01400,,0133942355AU599 2445,0,
8G,260512,255139,2545,014,,AU599,Q,260512,01400,,0133942357AU599 2545,0,
8G,260512,271506,2715,014,,AU599,Q,260512,01400,,0133942358AU599 2715,0,
8G,260512,281508,2815,014,,AU599,Q,260512,01400,,0133942356AU599 2815,0,
